0, 97, 54, 10
1, 479, 59, 2
2, 1, 91, 8
3, 1178, 8, 6
4, 1032, 71, 1
5, 1251, 30, 3
6, 105, 22, 3
7, 258, 99, 1
8, 1758, 67, 10
9, 1689, 11, 1
10, 48, 33, 2
11, 66, 51, 10
12, 407, 79, 1
13, 1955, 41, 8
14, 1263, 7, 8
15, 1874, 39, 10
16, 1414, 32, 3
17, 598, 55, 3
18, 582, 82, 5
19, 930, 57, 8
20, 671, 16, 10
21, 1865, 19, 2
22, 1731, 47, 2
23, 220, 78, 4
24, 495, 38, 4
25, 270, 79, 6
26, 1286, 87, 4
27, 983, 68, 6
28, 970, 73, 4
29, 1338, 78, 5
30, 1261, 83, 8
31, 768, 82, 9
32, 1532, 12, 10
33, 1484, 61, 4
34, 68, 78, 7
35, 1726, 6, 1
36, 468, 50, 3
37, 1407, 6, 2
38, 340, 98, 7
39, 661, 42, 3
40, 553, 60, 6
41, 931, 35, 5
42, 1499, 83, 9
43, 572, 28, 1
44, 1676, 30, 2
45, 1274, 76, 6
46, 1833, 92, 7
47, 37, 65, 4
48, 73, 6, 4
49, 427, 39, 10
50, 252, 94, 6
51, 81, 42, 6
52, 1656, 62, 6
53, 1656, 72, 4
54, 555, 59, 4
55, 1586, 64, 10
56, 244, 14, 8
57, 1404, 40, 8
58, 231, 16, 9
59, 292, 36, 5
60, 185, 57, 8
61, 33, 12, 6
62, 1270, 34, 9
63, 245, 8, 4
64, 236, 49, 7
65, 1312, 7, 3
66, 1680, 99, 3
67, 1080, 47, 4
68, 755, 4, 10
69, 1232, 14, 6
70, 1732, 10, 9
71, 1439, 72, 7
72, 628, 10, 2
73, 1733, 72, 5
74, 1754, 95, 3
75, 756, 97, 8
76, 1494, 25, 8
77, 101, 21, 9
78, 851, 73, 4
79, 253, 56, 6
80, 1949, 17, 3
81, 1017, 80, 6
82, 1972, 68, 4
83, 504, 98, 1
84, 1277, 46, 9
85, 1490, 52, 3
86, 885, 63, 6
87, 1855, 45, 3
88, 528, 18, 10
89, 732, 49, 7
90, 1444, 83, 1
91, 199, 41, 10
92, 1294, 46, 5
93, 1611, 52, 5
94, 1804, 58, 8
95, 1440, 11, 1
96, 773, 30, 4
97, 560, 45, 2
98, 939, 2, 8
99, 1778, 39, 10
100, 0, 56, 4
101, 732, 78, 3
102, 405, 31, 3
103, 1720, 86, 5
104, 421, 10, 9
105, 1188, 85, 6
106, 1839, 45, 10
107, 266, 79, 10
108, 1285, 30, 7
109, 1550, 79, 8
110, 600, 93, 10
111, 1192, 61, 6
112, 272, 79, 3
113, 1316, 3, 9
114, 653, 59, 8
115, 481, 21, 3
116, 71, 35, 7
117, 121, 49, 1
118, 1710, 22, 7
119, 620, 57, 2
120, 1708, 38, 8
121, 66, 4, 6
122, 513, 84, 8
123, 206, 23, 3
124, 1125, 76, 1
125, 488, 12, 6
126, 1239, 33, 6
127, 1572, 63, 3
128, 485, 39, 1
129, 1392, 38, 7
130, 1406, 6, 1
131, 695, 2, 1
132, 1190, 64, 5
133, 672, 2, 7
134, 81, 1, 9
135, 1427, 59, 8
136, 1581, 91, 1
137, 1515, 54, 7
138, 992, 19, 4
139, 951, 39, 10
140, 964, 50, 5
141, 568, 17, 4
142, 1682, 0, 7
143, 1889, 2, 10
144, 586, 77, 5
145, 561, 31, 8
146, 1347, 89, 5
147, 167, 29, 10
148, 1463, 37, 10
149, 299, 93, 10
150, 1323, 29, 10
151, 1658, 84, 4
152, 944, 88, 6
153, 1387, 33, 6
154, 1938, 22, 2
155, 1997, 35, 8
156, 287, 41, 1
157, 995, 11, 1
158, 1434, 11, 8
159, 684, 70, 2
160, 1719, 46, 1
161, 419, 31, 4
162, 496, 66, 10
163, 1807, 28, 7
164, 1254, 39, 6
165, 1428, 70, 10
166, 1306, 36, 2
167, 1615, 27, 3
168, 318, 17, 1
169, 1823, 48, 8
170, 1227, 34, 3
171, 1628, 67, 9
172, 1155, 18, 1
173, 623, 89, 5
174, 466, 86, 10
175, 1851, 48, 10
176, 878, 52, 8
177, 84, 21, 7
178, 958, 33, 3
179, 1761, 1, 10
180, 1047, 16, 9
181, 907, 31, 5
182, 1451, 26, 2
183, 1311, 85, 5
184, 761, 79, 10
185, 1034, 69, 4
186, 483, 24, 5
187, 261, 50, 10
188, 1128, 84, 5
189, 1562, 37, 8
190, 590, 37, 10
191, 1228, 55, 4
192, 1889, 8, 7
193, 1630, 43, 4
194, 1535, 66, 8
195, 1358, 86, 10
196, 1782, 46, 9
197, 1768, 6, 4
198, 1203, 96, 8
199, 1568, 68, 2
200, 1657, 60, 4
201, 619, 59, 6
202, 394, 89, 4
203, 1745, 42, 1
204, 1354, 94, 1
205, 1837, 22, 3
206, 332, 3, 10
207, 152, 20, 8
208, 1063, 19, 1
209, 640, 32, 2
210, 268, 31, 1
211, 829, 0, 1
212, 1435, 69, 7
213, 1321, 22, 4
214, 409, 3, 4
215, 1293, 86, 7
216, 1654, 32, 7
217, 1684, 7, 9
218, 1055, 29, 6
219, 1176, 75, 5
220, 296, 57, 1
221, 396, 5, 5
222, 1590, 18, 5
223, 1688, 91, 10
224, 1373, 61, 8
225, 324, 82, 4
226, 1208, 12, 8
227, 577, 93, 2
228, 42, 96, 2
229, 960, 3, 3
230, 1831, 63, 8
231, 82, 85, 4
232, 595, 76, 9
233, 1612, 66, 9
234, 1477, 30, 1
235, 1150, 68, 4
236, 260, 8, 9
237, 647, 52, 2
238, 1686, 11, 5
239, 1249, 94, 10
